annotation_id,annotator,is_control_task,mixed_set,mixed_topics,mixed_words,quartile,sentiment,similarity,topic1_words,topic2_words,task_id,task_type,model
73029199,annotator_1,False,truth<br>scientific<br><b>realism</b><br>successful<br><b>success</b><br>true<br><b>realist</b><br><b>theory</b>,[27],"['theory', 'success', 'realist', 'realism', 'successful', 'scientific', 'truth', 'true']",-1,1,1.0,"['theory', 'success', 'realist', 'realism']","['successful', 'scientific', 'truth', 'true']",task_233,single,
71296006,annotator_0,False,truth<br>scientific<br><b>realism</b><br>successful<br><b>success</b><br>true<br><b>realist</b><br><b>theory</b>,[27],"['theory', 'success', 'realist', 'realism', 'successful', 'scientific', 'truth', 'true']",-1,1,1.0,"['theory', 'success', 'realist', 'realism']","['successful', 'scientific', 'truth', 'true']",task_233,single,
71271634,annotator_3,False,truth<br>scientific<br><b>realism</b><br>successful<br><b>success</b><br>true<br><b>realist</b><br><b>theory</b>,[27],"['theory', 'success', 'realist', 'realism', 'successful', 'scientific', 'truth', 'true']",-1,1,1.0,"['theory', 'success', 'realist', 'realism']","['successful', 'scientific', 'truth', 'true']",task_233,single,
73028663,annotator_1,False,<b>scientific</b><br>kuhn<br><b>theory</b><br>philosophy<br><b>science</b><br><b>research</b><br>social<br>scientist,[3],"['science', 'scientific', 'theory', 'research', 'social', 'scientist', 'philosophy', 'kuhn']",-1,2,1.0,"['science', 'scientific', 'theory', 'research']","['social', 'scientist', 'philosophy', 'kuhn']",task_172,single,
71296071,annotator_0,False,<b>scientific</b><br>kuhn<br><b>theory</b><br>philosophy<br><b>science</b><br><b>research</b><br>social<br>scientist,[3],"['science', 'scientific', 'theory', 'research', 'social', 'scientist', 'philosophy', 'kuhn']",-1,1,1.0,"['science', 'scientific', 'theory', 'research']","['social', 'scientist', 'philosophy', 'kuhn']",task_172,single,
71271683,annotator_3,False,<b>scientific</b><br>kuhn<br><b>theory</b><br>philosophy<br><b>science</b><br><b>research</b><br>social<br>scientist,[3],"['science', 'scientific', 'theory', 'research', 'social', 'scientist', 'philosophy', 'kuhn']",-1,1,1.0,"['science', 'scientific', 'theory', 'research']","['social', 'scientist', 'philosophy', 'kuhn']",task_172,single,
73028951,annotator_1,False,<b>realist</b><br>spiritual<br>philosophic<br>conscience<br>mankind<br><b>antirealists</b><br><b>psillos</b><br><b>pessimistic</b>,"[0, 9]","['conscience', 'philosophic', 'spiritual', 'mankind', 'realist', 'pessimistic', 'psillos', 'antirealists']",0,2,0.7503031492233276,"['conscience', 'philosophic', 'spiritual', 'mankind']","['realist', 'pessimistic', 'psillos', 'antirealists']",task_322,mix_0_9_closest,
71273122,annotator_0,False,<b>realist</b><br>spiritual<br>philosophic<br>conscience<br>mankind<br><b>antirealists</b><br><b>psillos</b><br><b>pessimistic</b>,"[0, 9]","['conscience', 'philosophic', 'spiritual', 'mankind', 'realist', 'pessimistic', 'psillos', 'antirealists']",0,1,0.7503031492233276,"['conscience', 'philosophic', 'spiritual', 'mankind']","['realist', 'pessimistic', 'psillos', 'antirealists']",task_322,mix_0_9_closest,
71271690,annotator_3,False,<b>realist</b><br>spiritual<br>philosophic<br>conscience<br>mankind<br><b>antirealists</b><br><b>psillos</b><br><b>pessimistic</b>,"[0, 9]","['conscience', 'philosophic', 'spiritual', 'mankind', 'realist', 'pessimistic', 'psillos', 'antirealists']",0,2,0.7503031492233276,"['conscience', 'philosophic', 'spiritual', 'mankind']","['realist', 'pessimistic', 'psillos', 'antirealists']",task_322,mix_0_9_closest,
73028926,annotator_1,False,jeffrey<br><b>hypothesis</b><br>probability<br><b>statistical</b><br>bayesian<br><b>frequency</b><br><b>distribution</b><br>credence,"[14, 6]","['bayesian', 'probability', 'credence', 'jeffrey', 'distribution', 'frequency', 'statistical', 'hypothesis']",0,1,0.8176810145378113,"['bayesian', 'probability', 'credence', 'jeffrey']","['distribution', 'frequency', 'statistical', 'hypothesis']",task_137,mix_14_6_closest,
71295600,annotator_0,False,jeffrey<br><b>hypothesis</b><br>probability<br><b>statistical</b><br>bayesian<br><b>frequency</b><br><b>distribution</b><br>credence,"[14, 6]","['bayesian', 'probability', 'credence', 'jeffrey', 'distribution', 'frequency', 'statistical', 'hypothesis']",0,1,0.8176810145378113,"['bayesian', 'probability', 'credence', 'jeffrey']","['distribution', 'frequency', 'statistical', 'hypothesis']",task_137,mix_14_6_closest,
71271847,annotator_3,False,jeffrey<br><b>hypothesis</b><br>probability<br><b>statistical</b><br>bayesian<br><b>frequency</b><br><b>distribution</b><br>credence,"[14, 6]","['bayesian', 'probability', 'credence', 'jeffrey', 'distribution', 'frequency', 'statistical', 'hypothesis']",0,1,0.8176810145378113,"['bayesian', 'probability', 'credence', 'jeffrey']","['distribution', 'frequency', 'statistical', 'hypothesis']",task_137,mix_14_6_closest,
73028928,annotator_1,False,<b>explanation</b><br>chemistry<br><b>law</b><br>molecule<br>entropy<br>chemical<br><b>model</b><br><b>reduction</b>,"[9, 2]","['entropy', 'chemical', 'molecule', 'chemistry', 'law', 'explanation', 'model', 'reduction']",0,2,0.7088935971260071,"['entropy', 'chemical', 'molecule', 'chemistry']","['law', 'explanation', 'model', 'reduction']",task_89,mix_9_2_closest,
71295553,annotator_0,False,<b>explanation</b><br>chemistry<br><b>law</b><br>molecule<br>entropy<br>chemical<br><b>model</b><br><b>reduction</b>,"[9, 2]","['entropy', 'chemical', 'molecule', 'chemistry', 'law', 'explanation', 'model', 'reduction']",0,2,0.7088935971260071,"['entropy', 'chemical', 'molecule', 'chemistry']","['law', 'explanation', 'model', 'reduction']",task_89,mix_9_2_closest,
71271957,annotator_3,False,<b>explanation</b><br>chemistry<br><b>law</b><br>molecule<br>entropy<br>chemical<br><b>model</b><br><b>reduction</b>,"[9, 2]","['entropy', 'chemical', 'molecule', 'chemistry', 'law', 'explanation', 'model', 'reduction']",0,2,0.7088935971260071,"['entropy', 'chemical', 'molecule', 'chemistry']","['law', 'explanation', 'model', 'reduction']",task_89,mix_9_2_closest,
73029345,annotator_1,False,wave<br><b>mechanic</b><br><b>quantum</b><br>energy<br>field<br><b>state</b><br><b>measurement</b><br>particle,"[2, 13]","['particle', 'wave', 'energy', 'field', 'quantum', 'measurement', 'state', 'mechanic']",0,1,0.7653546929359436,"['particle', 'wave', 'energy', 'field']","['quantum', 'measurement', 'state', 'mechanic']",task_466,mix_2_13_closest,
71294347,annotator_0,False,wave<br><b>mechanic</b><br><b>quantum</b><br>energy<br>field<br><b>state</b><br><b>measurement</b><br>particle,"[2, 13]","['particle', 'wave', 'energy', 'field', 'quantum', 'measurement', 'state', 'mechanic']",0,1,0.7653546929359436,"['particle', 'wave', 'energy', 'field']","['quantum', 'measurement', 'state', 'mechanic']",task_466,mix_2_13_closest,
71271871,annotator_3,False,wave<br><b>mechanic</b><br><b>quantum</b><br>energy<br>field<br><b>state</b><br><b>measurement</b><br>particle,"[2, 13]","['particle', 'wave', 'energy', 'field', 'quantum', 'measurement', 'state', 'mechanic']",0,1,0.7653546929359436,"['particle', 'wave', 'energy', 'field']","['quantum', 'measurement', 'state', 'mechanic']",task_466,mix_2_13_closest,
73028701,annotator_1,False,mechanistic<br><b>gene</b><br>functional<br>teleological<br><b>fitness</b><br><b>selection</b><br>mechanism<br><b>population</b>,"[34, 38]","['mechanism', 'teleological', 'mechanistic', 'functional', 'selection', 'fitness', 'population', 'gene']",0,2,0.8052160739898682,"['mechanism', 'teleological', 'mechanistic', 'functional']","['selection', 'fitness', 'population', 'gene']",task_68,mix_34_38_closest,
71295345,annotator_0,False,mechanistic<br><b>gene</b><br>functional<br>teleological<br><b>fitness</b><br><b>selection</b><br>mechanism<br><b>population</b>,"[34, 38]","['mechanism', 'teleological', 'mechanistic', 'functional', 'selection', 'fitness', 'population', 'gene']",0,2,0.8052160739898682,"['mechanism', 'teleological', 'mechanistic', 'functional']","['selection', 'fitness', 'population', 'gene']",task_68,mix_34_38_closest,
71271839,annotator_3,False,mechanistic<br><b>gene</b><br>functional<br>teleological<br><b>fitness</b><br><b>selection</b><br>mechanism<br><b>population</b>,"[34, 38]","['mechanism', 'teleological', 'mechanistic', 'functional', 'selection', 'fitness', 'population', 'gene']",0,2,0.8052160739898682,"['mechanism', 'teleological', 'mechanistic', 'functional']","['selection', 'fitness', 'population', 'gene']",task_68,mix_34_38_closest,
73028818,annotator_1,False,computing<br><b>pancomputationalism</b><br><b>hypercomputation</b><br>computer<br><b>digital</b><br><b>computation</b><br>turing<br>machine,[15],"['turing', 'machine', 'computer', 'computing', 'digital', 'computation', 'pancomputationalism', 'hypercomputation']",-1,1,1.0,"['turing', 'machine', 'computer', 'computing']","['digital', 'computation', 'pancomputationalism', 'hypercomputation']",task_374,single,
