id,is_control_task,mixed_set,mixed_topics,mixed_words,quartile,similarity,task_id,topic1_words,topic2_words,model
216476550,,<b>formula</b><br>predicate<br>truth<br>true<br><b>logic</b><br><b>logical</b><br>sentence<br><b>modal</b>,"[28, 11]","['logic', 'formula', 'modal', 'logical', 'sentence', 'truth', 'true', 'predicate']",0,0.8039586544036865,mix_28_11_closest,"['logic', 'formula', 'modal', 'logical']","['sentence', 'truth', 'true', 'predicate']",NMF_50
216476551,,<b>space</b><br>clock<br>light<br><b>spacetime</b><br>velocity<br><b>time</b><br><b>field</b><br>simultaneity,"[13, 35]","['space', 'spacetime', 'field', 'time', 'clock', 'velocity', 'light', 'simultaneity']",0,0.7969379425048828,mix_13_35_closest,"['space', 'spacetime', 'field', 'time']","['clock', 'velocity', 'light', 'simultaneity']",BERTopic_54
216476552,,explanatory<br><b>model</b><br><b>law</b><br>idealization<br><b>explanation</b><br>hempel<br><b>reduction</b><br>explanandum,[2],"['law', 'explanation', 'model', 'reduction', 'explanatory', 'hempel', 'idealization', 'explanandum']",-1,1.0,single,"['law', 'explanation', 'model', 'reduction']","['explanatory', 'hempel', 'idealization', 'explanandum']",CFMF_25
216476553,,<b>payoff</b><br>stag<br>equilibria<br>game<br><b>signalers</b><br><b>replicator</b><br>nash<br><b>huttegger</b>,[23],"['replicator', 'payoff', 'huttegger', 'signalers', 'equilibria', 'nash', 'game', 'stag']",-1,1.0,single,"['replicator', 'payoff', 'huttegger', 'signalers']","['equilibria', 'nash', 'game', 'stag']",Top2Vec_25
216476554,,speaker<br><b>predicate</b><br>utterance<br><b>semantics</b><br><b>meaning</b><br><b>language</b><br>semantic<br>sentence,[40],"['sentence', 'utterance', 'speaker', 'semantic', 'predicate', 'semantics', 'meaning', 'language']",-1,1.0,single,"['sentence', 'utterance', 'speaker', 'semantic']","['predicate', 'semantics', 'meaning', 'language']",CFMF-emb_51
216476555,,mechanic<br><b>equilibrium</b><br>quantum<br><b>energy</b><br><b>entropy</b><br>particle<br><b>law</b><br>measurement,"[1, 2]","['entropy', 'equilibrium', 'law', 'energy', 'quantum', 'particle', 'measurement', 'mechanic']",0,0.7671223878860474,mix_1_2_closest,"['entropy', 'equilibrium', 'law', 'energy']","['quantum', 'particle', 'measurement', 'mechanic']",CFMF-emb_24
216476556,,proof<br><b>formula</b><br><b>logic</b><br><b>logical</b><br>number<br><b>modal</b><br>mathematical<br>mathematics,"[43, 28]","['mathematics', 'mathematical', 'proof', 'number', 'logic', 'formula', 'modal', 'logical']",0,0.7837240695953369,mix_43_28_closest,"['mathematics', 'mathematical', 'proof', 'number']","['logic', 'formula', 'modal', 'logical']",NMF_50
216476557,,<b>unobservables</b><br><b>observability</b><br><b>unobservable</b><br>psillos<br><b>fraassen</b><br>stathis<br>realist<br>pessimistic,"[23, 37]","['psillos', 'pessimistic', 'realist', 'stathis', 'fraassen', 'unobservables', 'unobservable', 'observability']",0,0.7924398183822632,mix_23_37_closest,"['psillos', 'pessimistic', 'realist', 'stathis']","['fraassen', 'unobservables', 'unobservable', 'observability']",Top2Vec_48
216476558,,confirm<br><b>probability</b><br>raven<br><b>bayesian</b><br><b>frequency</b><br><b>chance</b><br>hypothesis<br>confirmation,"[16, 22]","['confirmation', 'raven', 'confirm', 'hypothesis', 'probability', 'bayesian', 'frequency', 'chance']",0,0.7766101956367493,mix_16_22_closest,"['confirmation', 'raven', 'confirm', 'hypothesis']","['probability', 'bayesian', 'frequency', 'chance']",CFMF_25
216476559,,<b>spacetime</b><br>geodesics<br><b>relativity</b><br><b>inertial</b><br>covariant<br>timelike<br>lorentz<br><b>relativistic</b>,[7],"['inertial', 'spacetime', 'relativity', 'relativistic', 'geodesics', 'covariant', 'lorentz', 'timelike']",-1,1.0,single,"['inertial', 'spacetime', 'relativity', 'relativistic']","['geodesics', 'covariant', 'lorentz', 'timelike']",Top2Vec_25
216476560,,<b>scientific</b><br>science<br><b>sociology</b><br>society<br><b>political</b><br>social<br><b>research</b><br>culture,[37],"['social', 'science', 'society', 'culture', 'scientific', 'research', 'sociology', 'political']",-1,1.0,single,"['social', 'science', 'society', 'culture']","['scientific', 'research', 'sociology', 'political']",CFMF_50
216476561,,<b>galileo</b><br>space<br>point<br>time<br><b>body</b><br><b>motion</b><br><b>newton</b><br>theory,"[6, 8]","['time', 'space', 'theory', 'point', 'newton', 'motion', 'galileo', 'body']",0,0.7897402048110962,mix_6_8_closest,"['time', 'space', 'theory', 'point']","['newton', 'motion', 'galileo', 'body']",BERTopic_10
216476562,,<b>social</b><br>action<br>morality<br><b>research</b><br><b>science</b><br>moral<br>agent<br><b>scientist</b>,"[14, 23]","['moral', 'action', 'agent', 'morality', 'social', 'science', 'research', 'scientist']",0,0.6847378611564636,mix_14_23_closest,"['moral', 'action', 'agent', 'morality']","['social', 'science', 'research', 'scientist']",CFMF-emb_24
216476563,,<b>world</b><br>statement<br><b>universal</b><br>nature<br><b>system</b><br>law<br><b>nomological</b><br>generalization,[37],"['law', 'statement', 'nature', 'generalization', 'world', 'nomological', 'universal', 'system']",-1,1.0,single,"['law', 'statement', 'nature', 'generalization']","['world', 'nomological', 'universal', 'system']",BERTopic_54
216476564,,quine<br><b>language</b><br><b>sentence</b><br><b>utterance</b><br>predicate<br><b>speaker</b><br>semantic<br>meaning,[19],"['sentence', 'language', 'speaker', 'utterance', 'meaning', 'quine', 'semantic', 'predicate']",-1,1.0,single,"['sentence', 'language', 'speaker', 'utterance']","['meaning', 'quine', 'semantic', 'predicate']",CFMF-emb_24
216476565,,<b>belief</b><br><b>knowledge</b><br>realist<br>theory<br><b>epistemic</b><br>scientific<br>realism<br><b>know</b>,"[7, 10]","['belief', 'knowledge', 'know', 'epistemic', 'theory', 'realist', 'realism', 'scientific']",0,0.7960129380226135,mix_7_10_closest,"['belief', 'knowledge', 'know', 'epistemic']","['theory', 'realist', 'realism', 'scientific']",BERTopic_25
