annotation_id,annotator,id,intruder,is_control_task,model,sentiment,text,word1,word2,word3,word4,word5
71383899,annotator_1,216476771,dart,,LDA_54,dart,0b99c391-d73b-4226-8ced-bfcaf149aa41,decision,dart,utility,agent,preference
71332094,annotator_3,216476771,dart,,LDA_54,dart,0b99c391-d73b-4226-8ced-bfcaf149aa41,decision,dart,utility,agent,preference
71269599,annotator_0,216476771,dart,,LDA_54,dart,0b99c391-d73b-4226-8ced-bfcaf149aa41,decision,dart,utility,agent,preference
71226546,annotator_2,216476771,dart,,LDA_54,dart,0b99c391-d73b-4226-8ced-bfcaf149aa41,decision,dart,utility,agent,preference
71129284,annotator_4,216476771,dart,,LDA_54,decision,0b99c391-d73b-4226-8ced-bfcaf149aa41,decision,dart,utility,agent,preference
71383182,annotator_1,216476772,indefinitely,,CFMF_25,indefinitely,a5e04f2a-4292-45bd-bdd1-2908bd5a6db8,spacetime,clock,indefinitely,einstein,relativity
71302142,annotator_3,216476772,indefinitely,,CFMF_25,clock,a5e04f2a-4292-45bd-bdd1-2908bd5a6db8,spacetime,clock,indefinitely,einstein,relativity
71269707,annotator_0,216476772,indefinitely,,CFMF_25,indefinitely,a5e04f2a-4292-45bd-bdd1-2908bd5a6db8,spacetime,clock,indefinitely,einstein,relativity
71215771,annotator_2,216476772,indefinitely,,CFMF_25,indefinitely,a5e04f2a-4292-45bd-bdd1-2908bd5a6db8,spacetime,clock,indefinitely,einstein,relativity
71128412,annotator_4,216476772,indefinitely,,CFMF_25,indefinitely,a5e04f2a-4292-45bd-bdd1-2908bd5a6db8,spacetime,clock,indefinitely,einstein,relativity
71383265,annotator_1,216476773,interrogator,,Top2Vec_25,interrogator,47c42603-25f8-40ea-8284-dd31da8f4bd9,interrogator,nominalist,nominalistically,nominalistic,indispensability
71300058,annotator_3,216476773,interrogator,,Top2Vec_25,interrogator,47c42603-25f8-40ea-8284-dd31da8f4bd9,interrogator,nominalist,nominalistically,nominalistic,indispensability
71269243,annotator_0,216476773,interrogator,,Top2Vec_25,indispensability,47c42603-25f8-40ea-8284-dd31da8f4bd9,interrogator,nominalist,nominalistically,nominalistic,indispensability
71227030,annotator_2,216476773,interrogator,,Top2Vec_25,interrogator,47c42603-25f8-40ea-8284-dd31da8f4bd9,interrogator,nominalist,nominalistically,nominalistic,indispensability
71129228,annotator_4,216476773,interrogator,,Top2Vec_25,indispensability,47c42603-25f8-40ea-8284-dd31da8f4bd9,interrogator,nominalist,nominalistically,nominalistic,indispensability
71383983,annotator_1,216476774,syntactically,,CFMF_50,epr,6d3fed34-1318-4397-bf7d-29dab5d56a5c,epr,bell,locality,quantum,syntactically
71335161,annotator_3,216476774,syntactically,,CFMF_50,syntactically,6d3fed34-1318-4397-bf7d-29dab5d56a5c,epr,bell,locality,quantum,syntactically
71269857,annotator_0,216476774,syntactically,,CFMF_50,syntactically,6d3fed34-1318-4397-bf7d-29dab5d56a5c,epr,bell,locality,quantum,syntactically
71215990,annotator_2,216476774,syntactically,,CFMF_50,syntactically,6d3fed34-1318-4397-bf7d-29dab5d56a5c,epr,bell,locality,quantum,syntactically
71129260,annotator_4,216476774,syntactically,,CFMF_50,epr,6d3fed34-1318-4397-bf7d-29dab5d56a5c,epr,bell,locality,quantum,syntactically
71383168,annotator_1,216476775,ives,,LDA_54,ives,20ee023a-8f22-423d-a472-2829c6c6d830,scientific,problem,theory,ives,popper
71329603,annotator_3,216476775,ives,,LDA_54,ives,20ee023a-8f22-423d-a472-2829c6c6d830,scientific,problem,theory,ives,popper
71269689,annotator_0,216476775,ives,,LDA_54,ives,20ee023a-8f22-423d-a472-2829c6c6d830,scientific,problem,theory,ives,popper
71215948,annotator_2,216476775,ives,,LDA_54,ives,20ee023a-8f22-423d-a472-2829c6c6d830,scientific,problem,theory,ives,popper
71128888,annotator_4,216476775,ives,,LDA_54,ives,20ee023a-8f22-423d-a472-2829c6c6d830,scientific,problem,theory,ives,popper
71383884,annotator_1,216476776,reconfiguration,,Top2Vec_25,reconfiguration,645b2eec-0e77-4891-ab17-ac0e1f637693,reconfiguration,bayes,bayesian,probability,bayesians
71302522,annotator_3,216476776,reconfiguration,,Top2Vec_25,reconfiguration,645b2eec-0e77-4891-ab17-ac0e1f637693,reconfiguration,bayes,bayesian,probability,bayesians
71269829,annotator_0,216476776,reconfiguration,,Top2Vec_25,reconfiguration,645b2eec-0e77-4891-ab17-ac0e1f637693,reconfiguration,bayes,bayesian,probability,bayesians
71221116,annotator_2,216476776,reconfiguration,,Top2Vec_25,reconfiguration,645b2eec-0e77-4891-ab17-ac0e1f637693,reconfiguration,bayes,bayesian,probability,bayesians
71128638,annotator_4,216476776,reconfiguration,,Top2Vec_25,reconfiguration,645b2eec-0e77-4891-ab17-ac0e1f637693,reconfiguration,bayes,bayesian,probability,bayesians
71383324,annotator_1,216476777,revisability,,BERTopic_25,revisability,89707bbd-36ec-4234-84fb-4b54a8aa4d76,information,signal,revisability,dretske,probability
71330558,annotator_3,216476777,revisability,,BERTopic_25,probability,89707bbd-36ec-4234-84fb-4b54a8aa4d76,information,signal,revisability,dretske,probability
71269393,annotator_0,216476777,revisability,,BERTopic_25,revisability,89707bbd-36ec-4234-84fb-4b54a8aa4d76,information,signal,revisability,dretske,probability
71221090,annotator_2,216476777,revisability,,BERTopic_25,signal,89707bbd-36ec-4234-84fb-4b54a8aa4d76,information,signal,revisability,dretske,probability
71128684,annotator_4,216476777,revisability,,BERTopic_25,revisability,89707bbd-36ec-4234-84fb-4b54a8aa4d76,information,signal,revisability,dretske,probability
71383726,annotator_1,216476778,vertices,,CFMF-emb_51,vertices,763a8a90-9a58-4691-b308-375a6410ab42,paradigm,vertices,kuhn,incommensurability,scientific
71338339,annotator_3,216476778,vertices,,CFMF-emb_51,vertices,763a8a90-9a58-4691-b308-375a6410ab42,paradigm,vertices,kuhn,incommensurability,scientific
71269664,annotator_0,216476778,vertices,,CFMF-emb_51,vertices,763a8a90-9a58-4691-b308-375a6410ab42,paradigm,vertices,kuhn,incommensurability,scientific
71227806,annotator_2,216476778,vertices,,CFMF-emb_51,vertices,763a8a90-9a58-4691-b308-375a6410ab42,paradigm,vertices,kuhn,incommensurability,scientific
71128634,annotator_4,216476778,vertices,,CFMF-emb_51,vertices,763a8a90-9a58-4691-b308-375a6410ab42,paradigm,vertices,kuhn,incommensurability,scientific
71383828,annotator_1,216476779,stipulate,,CFMF_10,stipulate,45806a8b-cf76-42dd-a85b-4861e0687770,kant,newton,stipulate,motion,galileo
71337703,annotator_3,216476779,stipulate,,CFMF_10,kant,45806a8b-cf76-42dd-a85b-4861e0687770,kant,newton,stipulate,motion,galileo
71269692,annotator_0,216476779,stipulate,,CFMF_10,stipulate,45806a8b-cf76-42dd-a85b-4861e0687770,kant,newton,stipulate,motion,galileo
71215826,annotator_2,216476779,stipulate,,CFMF_10,stipulate,45806a8b-cf76-42dd-a85b-4861e0687770,kant,newton,stipulate,motion,galileo
71129272,annotator_4,216476779,stipulate,,CFMF_10,stipulate,45806a8b-cf76-42dd-a85b-4861e0687770,kant,newton,stipulate,motion,galileo
71383769,annotator_1,216476780,chinese,,NMF_10,chinese,9b52bc9f-301e-4ca1-a9f4-b342c7b41f7d,fitness,selection,population,chinese,gene
71302597,annotator_3,216476780,chinese,,NMF_10,fitness,9b52bc9f-301e-4ca1-a9f4-b342c7b41f7d,fitness,selection,population,chinese,gene
71269932,annotator_0,216476780,chinese,,NMF_10,chinese,9b52bc9f-301e-4ca1-a9f4-b342c7b41f7d,fitness,selection,population,chinese,gene
71227816,annotator_2,216476780,chinese,,NMF_10,fitness,9b52bc9f-301e-4ca1-a9f4-b342c7b41f7d,fitness,selection,population,chinese,gene
71129300,annotator_4,216476780,chinese,,NMF_10,chinese,9b52bc9f-301e-4ca1-a9f4-b342c7b41f7d,fitness,selection,population,chinese,gene
71383680,annotator_1,216476781,inhibitory,,BERTopic_54,inhibitory,f1e416d2-27ac-4f6d-bfbc-bda3c63d7921,understanding,explanation,law,inhibitory,explanatory
71329136,annotator_3,216476781,inhibitory,,BERTopic_54,inhibitory,f1e416d2-27ac-4f6d-bfbc-bda3c63d7921,understanding,explanation,law,inhibitory,explanatory
71269267,annotator_0,216476781,inhibitory,,BERTopic_54,inhibitory,f1e416d2-27ac-4f6d-bfbc-bda3c63d7921,understanding,explanation,law,inhibitory,explanatory
71227223,annotator_2,216476781,inhibitory,,BERTopic_54,inhibitory,f1e416d2-27ac-4f6d-bfbc-bda3c63d7921,understanding,explanation,law,inhibitory,explanatory
71128768,annotator_4,216476781,inhibitory,,BERTopic_54,inhibitory,f1e416d2-27ac-4f6d-bfbc-bda3c63d7921,understanding,explanation,law,inhibitory,explanatory
71384008,annotator_1,216476782,abuse,,CFMF-emb_51,abuse,8796b106-bb33-4bfc-8857-e6ac9367e3b6,abuse,mechanism,teleological,mechanistic,functional
71334570,annotator_3,216476782,abuse,,CFMF-emb_51,abuse,8796b106-bb33-4bfc-8857-e6ac9367e3b6,abuse,mechanism,teleological,mechanistic,functional
71269283,annotator_0,216476782,abuse,,CFMF-emb_51,abuse,8796b106-bb33-4bfc-8857-e6ac9367e3b6,abuse,mechanism,teleological,mechanistic,functional
71225857,annotator_2,216476782,abuse,,CFMF-emb_51,abuse,8796b106-bb33-4bfc-8857-e6ac9367e3b6,abuse,mechanism,teleological,mechanistic,functional
71128749,annotator_4,216476782,abuse,,CFMF-emb_51,abuse,8796b106-bb33-4bfc-8857-e6ac9367e3b6,abuse,mechanism,teleological,mechanistic,functional
71383787,annotator_1,216476783,exemplary,,CFMF-emb_10,exemplary,cba2c10d-cef9-4b2a-ae14-d6ffcad20adc,belief,knowledge,exemplary,justification,epistemic
71331760,annotator_3,216476783,exemplary,,CFMF-emb_10,exemplary,cba2c10d-cef9-4b2a-ae14-d6ffcad20adc,belief,knowledge,exemplary,justification,epistemic
71269364,annotator_0,216476783,exemplary,,CFMF-emb_10,exemplary,cba2c10d-cef9-4b2a-ae14-d6ffcad20adc,belief,knowledge,exemplary,justification,epistemic
71226780,annotator_2,216476783,exemplary,,CFMF-emb_10,exemplary,cba2c10d-cef9-4b2a-ae14-d6ffcad20adc,belief,knowledge,exemplary,justification,epistemic
