,id,is_control_task,mixed_set,mixed_topics,mixed_words,quartile,similarity,task_id,topic1_words,topic2_words,model
0,216476429,,shogenji<br><b>niiniluoto</b><br>confirmation<br><b>truthlike</b><br>meijs<br><b>verisimilitude</b><br><b>truthlikeness</b><br>fitelson,"[46, 29]","['verisimilitude', 'truthlikeness', 'truthlike', 'niiniluoto', 'fitelson', 'shogenji', 'meijs', 'confirmation']",0,0.7850856781005859,mix_46_29_closest,"['verisimilitude', 'truthlikeness', 'truthlike', 'niiniluoto']","['fitelson', 'shogenji', 'meijs', 'confirmation']",Top2Vec_48
1,216476430,,<b>jeffrey</b><br>credence<br><b>decision</b><br>utility<br><b>agent</b><br>bet<br><b>bayesian</b><br>probability,[50],"['probability', 'utility', 'bet', 'credence', 'agent', 'decision', 'jeffrey', 'bayesian']",-1,1.0,single,"['probability', 'utility', 'bet', 'credence']","['agent', 'decision', 'jeffrey', 'bayesian']",CFMF-emb_51
2,216476431,,element<br>order<br><b>definition</b><br>follow<br><b>function</b><br>theorem<br><b>define</b><br><b>set</b>,[27],"['set', 'function', 'define', 'definition', 'follow', 'order', 'element', 'theorem']",-1,1.0,single,"['set', 'function', 'define', 'definition']","['follow', 'order', 'element', 'theorem']",LDA_54
3,216476432,,computation<br><b>neural</b><br>turing<br><b>cognitive</b><br><b>brain</b><br><b>computational</b><br>computer<br>machine,"[28, 41]","['machine', 'turing', 'computer', 'computation', 'cognitive', 'brain', 'neural', 'computational']",0,0.7729097604751587,mix_28_41_closest,"['machine', 'turing', 'computer', 'computation']","['cognitive', 'brain', 'neural', 'computational']",CFMF-emb_51
4,216476433,,perceptual<br><b>phenomenal</b><br>perception<br><b>colour</b><br>experience<br><b>red</b><br><b>color</b><br>object,"[12, 33]","['experience', 'perception', 'object', 'perceptual', 'color', 'red', 'colour', 'phenomenal']",0,0.7533998489379883,mix_12_33_closest,"['experience', 'perception', 'object', 'perceptual']","['color', 'red', 'colour', 'phenomenal']",NMF_50
5,216476434,,<b>state</b><br><b>outcome</b><br>bell<br>quantum<br>measurement<br><b>hidden</b><br><b>particle</b><br>locality,[26],"['bell', 'measurement', 'quantum', 'locality', 'state', 'hidden', 'outcome', 'particle']",-1,1.0,single,"['bell', 'measurement', 'quantum', 'locality']","['state', 'hidden', 'outcome', 'particle']",BERTopic_54
6,216476435,,object<br>property<br>relation<br><b>truth</b><br><b>claim</b><br><b>argument</b><br>world<br><b>theory</b>,"[16, 1]","['property', 'world', 'object', 'relation', 'theory', 'argument', 'claim', 'truth']",0,0.8398953676223755,mix_16_1_closest,"['property', 'world', 'object', 'relation']","['theory', 'argument', 'claim', 'truth']",LDA_25
7,216476436,,<b>experience</b><br><b>intuition</b><br><b>mathematics</b><br>priori<br>kant<br>transcendental<br><b>geometry</b><br>concept,[22],"['kant', 'concept', 'priori', 'transcendental', 'intuition', 'experience', 'geometry', 'mathematics']",-1,1.0,single,"['kant', 'concept', 'priori', 'transcendental']","['intuition', 'experience', 'geometry', 'mathematics']",NMF_25
8,216476437,,<b>number</b><br>set<br>axiom<br>object<br><b>proof</b><br><b>mathematical</b><br>theory<br><b>mathematics</b>,[23],"['mathematical', 'number', 'mathematics', 'proof', 'axiom', 'theory', 'object', 'set']",-1,1.0,single,"['mathematical', 'number', 'mathematics', 'proof']","['axiom', 'theory', 'object', 'set']",LDA_25
9,216476438,,<b>information</b><br>strategy<br><b>signal</b><br>equilibrium<br>player<br><b>sender</b><br>game<br><b>receiver</b>,"[10, 38]","['player', 'game', 'strategy', 'equilibrium', 'signal', 'sender', 'receiver', 'information']",0,0.7536318302154541,mix_10_38_closest,"['player', 'game', 'strategy', 'equilibrium']","['signal', 'sender', 'receiver', 'information']",NMF_50
10,216476439,,<b>social</b><br>organism<br>evolutionary<br>selection<br><b>model</b><br><b>use</b><br>population<br><b>science</b>,"[1, 9]","['selection', 'population', 'organism', 'evolutionary', 'science', 'social', 'model', 'use']",0,0.7007759213447571,mix_1_9_closest,"['selection', 'population', 'organism', 'evolutionary']","['science', 'social', 'model', 'use']",LDA_10
11,216476440,,<b>transcendental</b><br><b>experience</b><br><b>priori</b><br>schlick<br>neurath<br>reichenbach<br><b>kant</b><br>carnap,"[0, 4]","['carnap', 'neurath', 'schlick', 'reichenbach', 'kant', 'transcendental', 'experience', 'priori']",0,0.8570958971977234,mix_0_4_closest,"['carnap', 'neurath', 'schlick', 'reichenbach']","['kant', 'transcendental', 'experience', 'priori']",CFMF-emb_51
12,216476441,,<b>truth</b><br><b>verisimilitude</b><br>set<br>language<br>object<br><b>theory</b><br><b>truthlikeness</b><br>sentence,"[40, 0]","['verisimilitude', 'truth', 'truthlikeness', 'theory', 'sentence', 'language', 'set', 'object']",0,0.7416980266571045,mix_40_0_closest,"['verisimilitude', 'truth', 'truthlikeness', 'theory']","['sentence', 'language', 'set', 'object']",BERTopic_54
13,216476442,,fitness<br><b>organism</b><br><b>gene</b><br>selection<br><b>trait</b><br>population<br><b>evolution</b><br>evolutionary,[6],"['selection', 'population', 'fitness', 'evolutionary', 'gene', 'evolution', 'trait', 'organism']",-1,1.0,single,"['selection', 'population', 'fitness', 'evolutionary']","['gene', 'evolution', 'trait', 'organism']",BERTopic_54
14,216476443,,<b>stone</b><br>relation<br>identity<br><b>mass</b><br><b>entity</b><br>trope<br>substance<br><b>universals</b>,[36],"['trope', 'relation', 'substance', 'identity', 'stone', 'entity', 'mass', 'universals']",-1,1.0,single,"['trope', 'relation', 'substance', 'identity']","['stone', 'entity', 'mass', 'universals']",NMF_50
