,id,intruder,is_control_task,model,text,word1,word2,word3,word4,word5
0,216476858,forensic,,CFMF_50,93e46057-79a1-4b55-af94-ef0980734e5e,bayesian,probability,credence,forensic,jeffrey
1,216476859,utilize,,Top2Vec_25,84765473-2c0f-4d47-a2f5-5f2a4180c2ae,feminist,kourany,utilize,funding,longino
2,216476860,impartiality,,NMF_25,6a63f2b4-5c85-43e3-a710-28a6999ba80b,confirmation,raven,hypothesis,impartiality,evidence
3,216476861,cooking,,BERTopic_54,28fb6243-5a05-41e1-947e-0b97084f4705,hypothesis,parsimony,curve,cooking,simplicity
4,216476862,irreflexive,,NMF_50,8bb094f3-d5d5-4c4c-805a-1d2e68781d4e,mathematical,number,mathematics,proof,irreflexive
5,216476863,mafi,,LDA_25,d6dc1e7e-ce3a-40a2-96aa-f65a3056ba00,cognitive,state,experience,mafi,mental
6,216476864,isolate,,CFMF_50,20c9ca8d-b13b-4a4f-80c3-422fdec74442,hempel,explanation,isolate,explanatory,explanandum
7,216476865,run,,CFMF_25,c4d0d87d-40e9-4642-9e14-cf434481d32b,carnap,neurath,schlick,run,language
8,216476866,communicator,,BERTopic_54,e87f0262-6c49-44d1-81e4-8fa35f83ecf1,coherence,communicator,measure,witness,probability
9,216476867,pity,,Top2Vec_25,22f8bc0f-dfb4-458d-856e-0ded8a779b50,semantics,quantifier,quantification,provable,pity
10,216476868,imperfect,,CFMF_50,0e4f4e79-0805-4d5c-9e59-b26e4903f177,imperfect,heap,predicate,amp,iff
11,216476869,wandschneider,,LDA_25,a3b29f72-35f9-4c79-8baf-af9fb0f1976c,wandschneider,research,scientific,science,social
12,216476870,electricity,,BERTopic_10,dd89b4ba-ccd4-4a9d-bb5a-c54ad298395b,strategy,player,moral,game,electricity
13,216476871,track,,CFMF-emb_51,7f01d56d-7b78-4be4-b6ef-5723a8a7d95b,track,causation,event,cause,causal
14,216476872,arousal,,LDA_25,111a3395-47c8-4b36-947b-89226d41fb0a,concept,arousal,species,kind,specie
15,216476873,immodest,,BERTopic_54,99338536-e0b9-4e8f-b0c2-0b63c5cb3b8d,immodest,cell,biology,life,organism
16,216476874,eklund,,NMF_50,33c2361e-65f7-4610-9a4e-665b2a70c568,event,eklund,temporal,world,time
17,216476875,gate,,CFMF_25,964f4745-c3c1-4980-af7b-45c106470316,particle,energy,wave,quantum,gate
18,216476876,darkness,,Top2Vec_48,72057b3f-9ff5-45ec-9d6b-a7d5be56e91a,finetti,conditionalization,schervish,darkness,jeffrey
19,216476877,terrorist,,BERTopic_54,6e41ea16-6c3f-4ff7-adbb-6f108ea60079,simultaneity,clock,terrorist,velocity,light
20,216476878,dunn,,CFMF_50,f1f7a5e7-203d-4914-ac6d-66a7bcaa9918,aggregation,lottery,warrant,dretske,dunn
21,216476879,critique,,CFMF-emb_51,fe1b4dd6-4e5c-4dbf-a713-7a0691e5e258,critique,predicate,truth,sentence,language
22,216476880,nagelian,,Top2Vec_48,fc41fd82-e449-47cb-bf24-f5771b96e747,sociology,nagelian,mankind,philosophic,society
23,216476881,augustine,,CFMF_25,39ae9f02-90f1-44c9-8a2b-5a8858f2ecba,probability,augustine,chance,bayesian,frequency
24,216476882,neisser,,LDA_54,5e4b70b1-e72c-427e-b8f4-b114bc4373a0,neisser,galileo,newton,earth,light
25,216476883,mortgage,,CFMF_25,e492e54b-36ea-4ed0-bf39-c47dfa73707b,normative,moral,norm,judgment,mortgage
26,216476884,efface,,LDA_54,d600fd74-29f7-4744-a47e-a540a33eb34d,state,efface,quantum,system,measurement
27,216476885,impression,,CFMF_10,72bef852-cddf-4da2-ad28-ed9fd42dbff5,game,belief,agent,epistemic,impression
28,216476886,efficacy,,CFMF-emb_24,da4d5593-2d00-4619-a043-2e04cae8ae9a,simulation,model,climate,efficacy,representation
29,216476887,efficacy,,LDA_54,af895662-f363-417e-a14a-5d68a475276c,efficacy,biological,specie,organism,species
30,216476888,isolate,,CFMF-emb_51,74227cd8-e66f-4564-b118-82414fd727d9,explanation,explanatory,explanandum,isolate,hempel
31,216476889,sensor,,CFMF_50,b141def7-322c-455f-84be-9e65856d2e1c,fitness,population,trait,selection,sensor
32,216476890,lettuce,True,CONTROL,a214751m-3n45-6789-jk01-lm23no456789,python,java,c++,ruby,lettuce
33,216476891,greenberg,,BERTopic_25,ff32880c-c8fc-4e40-8d22-8b85c00330fc,greenberg,language,set,truth,sentence
34,216476892,covalent,,Top2Vec_48,e0eaae68-5894-454c-bea0-12b7b56e0902,morality,morally,harsanyi,covalent,moral
35,216476893,inequivalence,,BERTopic_54,1f89a998-7e02-4f99-a72c-3b09e7f097bf,prediction,inequivalence,mendeleev,theory,predict
36,216476894,submission,,BERTopic_54,83abd2d5-c9e1-4240-98f0-55d14c033301,submission,price,economist,economic,economics
37,216476895,partially,,LDA_10,cd980936-ffa4-46e3-96a5-3f89d3e517fe,partially,nature,see,philosophy,science
38,216476896,indo,,NMF_50,d5b83619-fe53-443e-b545-be5f303cf6cb,confirm,evidence,confirmation,measure,indo
39,216476897,banana,True,CONTROL,1a3b9d2e-4f56-7890-ab12-cd34ef567890,dog,cat,horse,cow,banana
40,216476898,absurd,,CFMF-emb_51,c4372718-76aa-4aa7-896e-ad2a6b50b6ae,revision,absurd,agent,coherence,belief
41,216476899,simulta,,BERTopic_25,a2523b2a-f439-439b-838d-0fdfa34367c0,agent,model,belief,revision,simulta
42,216476900,horgan,,LDA_25,fd2713c0-d496-4255-860b-30690a68afb1,truth,theory,argument,claim,horgan
43,216476901,enim,,LDA_54,b05c8aa1-4ad6-4806-a368-92bc84b81885,game,enim,player,strategy,agent
44,216476902,compton,,NMF_50,095cb981-4898-4d74-8e59-56b50968fc62,propensity,probability,frequency,distribution,compton
45,216476903,augustus,,BERTopic_54,549e00e3-8fb4-4362-8957-07feb6dbfaa3,spacetime,field,space,augustus,time
46,216476904,unicellular,,LDA_25,e53c0b3d-4655-41e2-88cc-557f38ce268d,language,meaning,term,sentence,unicellular
47,216476905,accounting,,CFMF_50,288f604d-3c1a-4d5b-b12c-fec9adb02f83,accounting,entropy,boltzmann,thermodynamic,equilibrium
48,216476906,gricean,,LDA_10,edb07df0-4d92-45c2-b83c-31979ca52595,time,theory,gricean,system,space
49,216476907,philos,,CFMF-emb_51,8673d3d5-1580-4ca1-be9d-2cd8e021351a,einstein,philos,relativity,clock,lorentz
50,216476908,octopus,True,CONTROL,e658b95q-7r89-0123-no45-pq67rs890123,doctor,nurse,teacher,engineer,octopus
51,216476909,critique,,NMF_10,f814fb6b-d634-428f-8bab-1a9f3b9a1661,truth,critique,sentence,logic,language
52,216476910,rudolf,,BERTopic_10,cc31f0ff-c1e2-4240-9143-b0c694dc3807,knowledge,belief,epistemic,rudolf,know
53,216476911,spoon,True,CONTROL,6f80317i-9j01-2345-fg67-hi89jk012345,earth,mars,venus,jupiter,spoon
54,216476912,disconfirms,,Top2Vec_48,bd86e303-c351-4de8-b855-cd4e704d6610,newcomb,unratifiable,ratifiable,ratificationism,disconfirms
55,216476913,wonderfully,,BERTopic_54,34f231c9-e552-4a47-b6f5-4cc8515b9d70,statement,wonderfully,nature,law,generalization
56,216476914,mighty,,Top2Vec_48,c970f7ad-fbce-49cb-9858-6c1887d4fe38,mereological,truthmaking,endurantist,markosian,mighty
57,216476915,recognition,,CFMF-emb_51,fd630035-694e-415f-bfd1-1bcd1b40bc8f,entropy,ergodic,thermodynamic,equilibrium,recognition
58,216476916,infringement,,NMF_50,c4e5c676-c94e-455d-9221-f1247d8449d9,infringement,equilibrium,entropy,system,state
59,216476917,fleming,,LDA_54,34b92871-d1d1-4e42-8134-3adddf076a74,rule,conclusion,argument,inference,fleming
60,216476918,woman,,LDA_54,6447fa2b-c7f7-456d-9cad-ecf6c505132d,woman,system,behavior,level,state
61,216476919,inanimate,,Top2Vec_48,26fac288-d08a-4635-ab11-30ce2cf0c07d,unobservables,inanimate,unobservable,fraassen,observability
62,216476920,kerr,,NMF_50,a15d7124-927e-401b-972c-417d83bd42b0,cause,causal,variable,kerr,causation
