id,intruder,is_control_task,model,text,word1,word2,word3,word4,word5
216476771,dart,,LDA_54,0b99c391-d73b-4226-8ced-bfcaf149aa41,decision,dart,utility,agent,preference
216476772,indefinitely,,CFMF_25,a5e04f2a-4292-45bd-bdd1-2908bd5a6db8,spacetime,clock,indefinitely,einstein,relativity
216476773,interrogator,,Top2Vec_25,47c42603-25f8-40ea-8284-dd31da8f4bd9,interrogator,nominalist,nominalistically,nominalistic,indispensability
216476774,syntactically,,CFMF_50,6d3fed34-1318-4397-bf7d-29dab5d56a5c,epr,bell,locality,quantum,syntactically
216476775,ives,,LDA_54,20ee023a-8f22-423d-a472-2829c6c6d830,scientific,problem,theory,ives,popper
216476776,reconfiguration,,Top2Vec_25,645b2eec-0e77-4891-ab17-ac0e1f637693,reconfiguration,bayes,bayesian,probability,bayesians
216476777,revisability,,BERTopic_25,89707bbd-36ec-4234-84fb-4b54a8aa4d76,information,signal,revisability,dretske,probability
216476778,vertices,,CFMF-emb_51,763a8a90-9a58-4691-b308-375a6410ab42,paradigm,vertices,kuhn,incommensurability,scientific
216476779,stipulate,,CFMF_10,45806a8b-cf76-42dd-a85b-4861e0687770,kant,newton,stipulate,motion,galileo
216476780,chinese,,NMF_10,9b52bc9f-301e-4ca1-a9f4-b342c7b41f7d,fitness,selection,population,chinese,gene
216476781,inhibitory,,BERTopic_54,f1e416d2-27ac-4f6d-bfbc-bda3c63d7921,understanding,explanation,law,inhibitory,explanatory
216476782,abuse,,CFMF-emb_51,8796b106-bb33-4bfc-8857-e6ac9367e3b6,abuse,mechanism,teleological,mechanistic,functional
216476783,exemplary,,CFMF-emb_10,cba2c10d-cef9-4b2a-ae14-d6ffcad20adc,belief,knowledge,exemplary,justification,epistemic
216476784,path,,Top2Vec_10,792e13d1-1885-4ac1-b4d5-67d7854e9e5b,path,descartes,seventeenth,philosophiae,newton
216476785,ols,,Top2Vec_25,c84d5574-fb0e-4217-bc16-75cd2d385f6f,neural,processing,ols,neuroscience,cortex
216476786,reconfiguration,,Top2Vec_10,ad3f5d80-5898-4a15-b0f8-de1bdada87a6,bayes,reconfiguration,bayesians,probability,bayesian
216476787,joe,,NMF_50,d09ded87-4bc0-49d4-8cb6-a529a0f4d1b5,joe,value,variable,function,measurement
216476788,mefi,,BERTopic_54,6b7df253-78fe-4643-9627-cfb4d6411219,function,mefi,goal,artefact,teleological
216476789,hammer,True,CONTROL,c436973o-5p67-8901-lm23-no45pq678901,shirt,jacket,pants,shoes,hammer
216476790,neurally,,NMF_25,8038787c-b6f3-4c04-b86d-bd3260dd43a3,neurally,social,philosophy,scientific,science
216476791,adorno,,Top2Vec_48,bd287320-f04e-4e65-b9c7-e36eb9ce7835,adorno,mpp,sneedian,sneed,balzer
216476792,theseus,,Top2Vec_10,1a68ef52-3a3a-4441-96a3-fdff8a401716,phenotypic,gene,reproductive,theseus,phenotype
216476793,prs,,BERTopic_54,5f182f68-2df7-4d42-9d86-11cebe21760c,selection,evolutionary,prs,fitness,population
216476794,tionist,,LDA_54,f2da7624-9400-4489-9f1f-5de05bc0c954,man,tionist,world,human,life
216476795,punish,,CFMF-emb_51,0a6b3596-eb75-4a72-934c-b088b7a46659,computation,turing,computer,machine,punish
216476796,wire,,NMF_50,e57ad9a9-93ba-449b-84bc-fa83bde94401,wire,popper,verisimilitude,statement,miller
216476797,inhibitory,,BERTopic_25,7f4d0f20-7a2a-4bd3-ab4b-c53ad3e4884b,understanding,law,inhibitory,explanatory,explanation
216476798,greenberg,,BERTopic_54,94472865-ba12-47fe-b6d0-65f4debf19ab,greenberg,truth,object,language,sentence
216476799,confirmed,,LDA_54,987fc5f0-f062-4dc8-b587-6eaf0971e261,predicate,name,object,sentence,confirmed
216476800,writing,,CFMF-emb_51,81f5aca8-bdd9-40ed-9732-fbdf6a7c34a3,grammar,writing,child,chomsky,language
216476801,confuse,,NMF_10,0cb5fca3-9dfd-4c47-b6d7-8c66b7ffe763,cause,causal,law,confuse,explanation
216476802,viable,,CFMF_25,efb66b68-e9e1-4e3a-b752-a64ea291f138,emotion,wittgenstein,russell,viable,pain
216476803,ride,,CFMF_50,0f35b9f7-2f5a-45a3-bd8c-8a1bb18c11f2,sentence,indeterminacy,quine,translation,ride
216476804,polyhedron,,LDA_54,36bf9a5a-45a2-4ea7-a600-518b2beecf82,time,force,polyhedron,motion,einstein
216476805,fixed,,NMF_50,e4be9ac5-43a2-4a7a-bf04-1f085e4c06b8,newton,motion,fixed,body,force
216476806,predictive,,CFMF_50,deac6935-ed30-436b-a48a-ca3772f5a8f3,predictive,kant,transcendental,cassirer,experience
216476807,wonderfully,,BERTopic_25,a0c54951-105c-44b5-b967-82ed69618a87,wonderfully,statement,generalization,law,nature
216476808,mendelian,,Top2Vec_10,f7bede07-7482-4947-9dff-6fc02516a7a3,mendelian,spiritual,mankind,philosophic,conscience
216476809,detector,,CFMF-emb_24,7ec8db2e-667a-4cce-8294-6ebf0a7b977c,mathematics,mathematical,detector,axiom,geometry
216476810,documentation,,CFMF-emb_51,e151d0fd-5403-444e-b291-5e1839519806,axiom,sentence,proof,formula,documentation
216476811,imperialistic,,BERTopic_54,a1895827-369e-45b7-89a4-ef4fe964555f,entropy,time,system,imperialistic,state
216476812,define,,NMF_50,805f4393-a494-40c1-8302-01a05a1f38cf,world,truth,realism,define,realist
216476813,banana,True,CONTROL,1a3b9d2e-4f56-7890-ab12-cd34ef567890,dog,cat,horse,cow,banana
